Antecedents:,Consequents:
[' DOLLY GIRL BEAKER'],['SPACEBOY BEAKER']
['SPACEBOY BEAKER'],[' DOLLY GIRL BEAKER']
[' SPACEBOY BABY GIFT SET'],['DOLLY GIRL BABY GIFT SET']
['DOLLY GIRL BABY GIFT SET'],[' SPACEBOY BABY GIFT SET']
['10 COLOUR SPACEBOY PEN'],['POSTAGE']
['POSTAGE'],['10 COLOUR SPACEBOY PEN']
['3 PIECE SPACEBOY COOKIE CUTTER SET'],['POSTAGE']
['POSTAGE'],['3 PIECE SPACEBOY COOKIE CUTTER SET']
['POSTAGE'],['36 PENCILS TUBE WOODLAND']
['36 PENCILS TUBE WOODLAND'],['POSTAGE']
['4 TRADITIONAL SPINNING TOPS'],['POSTAGE']
['POSTAGE'],['4 TRADITIONAL SPINNING TOPS']
['4 TRADITIONAL SPINNING TOPS'],['RED  HARMONICA IN BOX ']
['RED  HARMONICA IN BOX '],['4 TRADITIONAL SPINNING TOPS']
['6 RIBBONS RUSTIC CHARM'],['POSTAGE']
['POSTAGE'],['6 RIBBONS RUSTIC CHARM']
['REGENCY CAKESTAND 3 TIER'],['6 RIBBONS RUSTIC CHARM']
['6 RIBBONS RUSTIC CHARM'],['REGENCY CAKESTAND 3 TIER']
['60 CAKE CASES DOLLY GIRL DESIGN'],['PACK OF 60 MUSHROOM CAKE CASES']
['PACK OF 60 MUSHROOM CAKE CASES'],['60 CAKE CASES DOLLY GIRL DESIGN']
['60 CAKE CASES DOLLY GIRL DESIGN'],['PACK OF 60 SPACEBOY CAKE CASES']
['PACK OF 60 SPACEBOY CAKE CASES'],['60 CAKE CASES DOLLY GIRL DESIGN']
['60 CAKE CASES DOLLY GIRL DESIGN'],['PACK OF 72 RETROSPOT CAKE CASES']
['PACK OF 72 RETROSPOT CAKE CASES'],['60 CAKE CASES DOLLY GIRL DESIGN']
['60 TEATIME FAIRY CAKE CASES'],['72 SWEETHEART FAIRY CAKE CASES']
['72 SWEETHEART FAIRY CAKE CASES'],['60 TEATIME FAIRY CAKE CASES']
['60 TEATIME FAIRY CAKE CASES'],['PACK OF 60 PINK PAISLEY CAKE CASES']
['PACK OF 60 PINK PAISLEY CAKE CASES'],['60 TEATIME FAIRY CAKE CASES']
['60 TEATIME FAIRY CAKE CASES'],['PACK OF 60 SPACEBOY CAKE CASES']
['PACK OF 60 SPACEBOY CAKE CASES'],['60 TEATIME FAIRY CAKE CASES']
['60 TEATIME FAIRY CAKE CASES'],['PACK OF 72 RETROSPOT CAKE CASES']
['PACK OF 72 RETROSPOT CAKE CASES'],['60 TEATIME FAIRY CAKE CASES']
['60 TEATIME FAIRY CAKE CASES'],['REGENCY CAKESTAND 3 TIER']
['REGENCY CAKESTAND 3 TIER'],['60 TEATIME FAIRY CAKE CASES']
['72 SWEETHEART FAIRY CAKE CASES'],['PACK OF 72 RETROSPOT CAKE CASES']
['PACK OF 72 RETROSPOT CAKE CASES'],['72 SWEETHEART FAIRY CAKE CASES']
['ALARM CLOCK BAKELIKE GREEN'],['ALARM CLOCK BAKELIKE CHOCOLATE']
['ALARM CLOCK BAKELIKE CHOCOLATE'],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE PINK'],['ALARM CLOCK BAKELIKE CHOCOLATE']
['ALARM CLOCK BAKELIKE CHOCOLATE'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE RED '],['ALARM CLOCK BAKELIKE CHOCOLATE']
['ALARM CLOCK BAKELIKE CHOCOLATE'],['ALARM CLOCK BAKELIKE RED ']
['POSTAGE'],['ALARM CLOCK BAKELIKE CHOCOLATE']
['ALARM CLOCK BAKELIKE CHOCOLATE'],['POSTAGE']
['ALARM CLOCK BAKELIKE GREEN'],['ALARM CLOCK BAKELIKE IVORY']
['ALARM CLOCK BAKELIKE IVORY'],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE GREEN'],['ALARM CLOCK BAKELIKE ORANGE']
['ALARM CLOCK BAKELIKE ORANGE'],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE GREEN'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE GREEN'],['ALARM CLOCK BAKELIKE RED ']
['ALARM CLOCK BAKELIKE RED '],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE GREEN'],['POSTAGE']
['POSTAGE'],['ALARM CLOCK BAKELIKE GREEN']
['REGENCY CAKESTAND 3 TIER'],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE GREEN'],['REGENCY CAKESTAND 3 TIER']
['ALARM CLOCK BAKELIKE GREEN'],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE GREEN'],['SPACEBOY LUNCH BOX ']
['SPACEBOY LUNCH BOX '],['ALARM CLOCK BAKELIKE GREEN']
['ALARM CLOCK BAKELIKE PINK'],['ALARM CLOCK BAKELIKE IVORY']
['ALARM CLOCK BAKELIKE IVORY'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE RED '],['ALARM CLOCK BAKELIKE IVORY']
['ALARM CLOCK BAKELIKE IVORY'],['ALARM CLOCK BAKELIKE RED ']
['POSTAGE'],['ALARM CLOCK BAKELIKE IVORY']
['ALARM CLOCK BAKELIKE IVORY'],['POSTAGE']
['ALARM CLOCK BAKELIKE ORANGE'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['ALARM CLOCK BAKELIKE ORANGE']
['ALARM CLOCK BAKELIKE ORANGE'],['ALARM CLOCK BAKELIKE RED ']
['ALARM CLOCK BAKELIKE RED '],['ALARM CLOCK BAKELIKE ORANGE']
['ALARM CLOCK BAKELIKE ORANGE'],['POSTAGE']
['POSTAGE'],['ALARM CLOCK BAKELIKE ORANGE']
['ALARM CLOCK BAKELIKE PINK'],['ALARM CLOCK BAKELIKE RED ']
['ALARM CLOCK BAKELIKE RED '],['ALARM CLOCK BAKELIKE PINK']
['PLASTERS IN TIN CIRCUS PARADE '],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['PLASTERS IN TIN CIRCUS PARADE ']
['PLASTERS IN TIN WOODLAND ANIMALS'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['PLASTERS IN TIN WOODLAND ANIMALS']
['ALARM CLOCK BAKELIKE PINK'],['POSTAGE']
['POSTAGE'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['RED TOADSTOOL LED NIGHT LIGHT']
['RED TOADSTOOL LED NIGHT LIGHT'],['ALARM CLOCK BAKELIKE PINK']
['REGENCY CAKESTAND 3 TIER'],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['REGENCY CAKESTAND 3 TIER']
['ALARM CLOCK BAKELIKE PINK'],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['ALARM CLOCK BAKELIKE PINK']
['ALARM CLOCK BAKELIKE PINK'],['SPACEBOY LUNCH BOX ']
['SPACEBOY LUNCH BOX '],['ALARM CLOCK BAKELIKE PINK']
['POSTAGE'],['ALARM CLOCK BAKELIKE RED ']
['ALARM CLOCK BAKELIKE RED '],['POSTAGE']
['REGENCY CAKESTAND 3 TIER'],['ALARM CLOCK BAKELIKE RED ']
['ALARM CLOCK BAKELIKE RED '],['REGENCY CAKESTAND 3 TIER']
['ALARM CLOCK BAKELIKE RED '],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['ALARM CLOCK BAKELIKE RED ']
['SPACEBOY LUNCH BOX '],['ALARM CLOCK BAKELIKE RED ']
['ALARM CLOCK BAKELIKE RED '],['SPACEBOY LUNCH BOX ']
['ASSORTED COLOUR BIRD ORNAMENT'],['POSTAGE']
['POSTAGE'],['ASSORTED COLOUR BIRD ORNAMENT']
['REGENCY CAKESTAND 3 TIER'],['ASSORTED COLOUR BIRD ORNAMENT']
['ASSORTED COLOUR BIRD ORNAMENT'],['REGENCY CAKESTAND 3 TIER']
['POSTAGE'],['ASSORTED COLOUR MINI CASES']
['ASSORTED COLOUR MINI CASES'],['POSTAGE']
['RED RETROSPOT MINI CASES'],['ASSORTED COLOUR MINI CASES']
['ASSORTED COLOUR MINI CASES'],['RED RETROSPOT MINI CASES']
['BAKING SET SPACEBOY DESIGN'],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['BAKING SET SPACEBOY DESIGN']
['BAKING SET 9 PIECE RETROSPOT '],['PACK OF 72 RETROSPOT CAKE CASES']
['PACK OF 72 RETROSPOT CAKE CASES'],['BAKING SET 9 PIECE RETROSPOT ']
['PLASTERS IN TIN SPACEBOY'],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['PLASTERS IN TIN SPACEBOY']
['BAKING SET 9 PIECE RETROSPOT '],['PLASTERS IN TIN WOODLAND ANIMALS']
['PLASTERS IN TIN WOODLAND ANIMALS'],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['POSTAGE']
['POSTAGE'],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['RED RETROSPOT MINI CASES']
['RED RETROSPOT MINI CASES'],['BAKING SET 9 PIECE RETROSPOT ']
['REGENCY CAKESTAND 3 TIER'],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['REGENCY CAKESTAND 3 TIER']
['BAKING SET 9 PIECE RETROSPOT '],['RETROSPOT TEA SET CERAMIC 11 PC ']
['RETROSPOT TEA SET CERAMIC 11 PC '],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['BAKING SET 9 PIECE RETROSPOT ']
['SET OF 3 CAKE TINS PANTRY DESIGN '],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET 9 PIECE RETROSPOT '],['SET OF 3 CAKE TINS PANTRY DESIGN ']
['BAKING SET 9 PIECE RETROSPOT '],['SET/20 RED RETROSPOT PAPER NAPKINS ']
['SET/20 RED RETROSPOT PAPER NAPKINS '],['BAKING SET 9 PIECE RETROSPOT ']
['BAKING SET SPACEBOY DESIGN'],['POSTAGE']
['POSTAGE'],['BAKING SET SPACEBOY DESIGN']
['POSTAGE'],['BIG DOUGHNUT FRIDGE MAGNETS']
['BIG DOUGHNUT FRIDGE MAGNETS'],['POSTAGE']
['RED RETROSPOT UMBRELLA'],['BLACK/BLUE POLKADOT UMBRELLA']
['BLACK/BLUE POLKADOT UMBRELLA'],['RED RETROSPOT UMBRELLA']
['RED DINER WALL CLOCK'],['BLUE DINER WALL CLOCK']
['BLUE DINER WALL CLOCK'],['RED DINER WALL CLOCK']
['BLUE HAPPY BIRTHDAY BUNTING'],['PINK HAPPY BIRTHDAY BUNTING']
['PINK HAPPY BIRTHDAY BUNTING'],['BLUE HAPPY BIRTHDAY BUNTING']
['POSTAGE'],['BLUE HARMONICA IN BOX ']
['BLUE HARMONICA IN BOX '],['POSTAGE']
['BLUE HARMONICA IN BOX '],['RED  HARMONICA IN BOX ']
['RED  HARMONICA IN BOX '],['BLUE HARMONICA IN BOX ']
['BLUE HARMONICA IN BOX '],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['BLUE HARMONICA IN BOX ']
['BLUE POLKADOT CUP'],['BLUE POLKADOT BOWL']
['BLUE POLKADOT BOWL'],['BLUE POLKADOT CUP']
['PINK POLKADOT BOWL'],['BLUE POLKADOT BOWL']
['BLUE POLKADOT BOWL'],['PINK POLKADOT BOWL']
['BLUE POLKADOT BOWL'],['POSTAGE']
['POSTAGE'],['BLUE POLKADOT BOWL']
['RED RETROSPOT BOWL'],['BLUE POLKADOT BOWL']
['BLUE POLKADOT BOWL'],['RED RETROSPOT BOWL']
['RED RETROSPOT CUP'],['BLUE POLKADOT BOWL']
['BLUE POLKADOT BOWL'],['RED RETROSPOT CUP']
['BLUE POLKADOT BOWL'],['RED RETROSPOT PLATE ']
['RED RETROSPOT PLATE '],['BLUE POLKADOT BOWL']
['BLUE POLKADOT PLATE '],['BLUE POLKADOT CUP']
['BLUE POLKADOT CUP'],['BLUE POLKADOT PLATE ']
['PINK  POLKADOT CUP'],['BLUE POLKADOT CUP']
['BLUE POLKADOT CUP'],['PINK  POLKADOT CUP']
['BLUE POLKADOT CUP'],['POSTAGE']
['POSTAGE'],['BLUE POLKADOT CUP']
['RED RETROSPOT CUP'],['BLUE POLKADOT CUP']
['BLUE POLKADOT CUP'],['RED RETROSPOT CUP']
['BLUE POLKADOT CUP'],['RED RETROSPOT PLATE ']
['RED RETROSPOT PLATE '],['BLUE POLKADOT CUP']
['BLUE POLKADOT PLATE '],['POSTAGE']
['POSTAGE'],['BLUE POLKADOT PLATE ']
['BLUE POLKADOT PLATE '],['RED RETROSPOT PLATE ']
['RED RETROSPOT PLATE '],['BLUE POLKADOT PLATE ']
['BLUE STRIPE CERAMIC DRAWER KNOB'],['RED STRIPE CERAMIC DRAWER KNOB']
['RED STRIPE CERAMIC DRAWER KNOB'],['BLUE STRIPE CERAMIC DRAWER KNOB']
['PINK VINTAGE SPOT BEAKER'],['BLUE VINTAGE SPOT BEAKER']
['BLUE VINTAGE SPOT BEAKER'],['PINK VINTAGE SPOT BEAKER']
['BLUE VINTAGE SPOT BEAKER'],['RED VINTAGE SPOT BEAKER']
['RED VINTAGE SPOT BEAKER'],['BLUE VINTAGE SPOT BEAKER']
['POSTAGE'],"[""BOX OF 6 MINI 50'S CRACKERS""]"
"[""BOX OF 6 MINI 50'S CRACKERS""]",['POSTAGE']
['BREAD BIN DINER STYLE IVORY'],['BREAD BIN DINER STYLE RED ']
['BREAD BIN DINER STYLE RED '],['BREAD BIN DINER STYLE IVORY']
['IVORY KITCHEN SCALES'],['BREAD BIN DINER STYLE IVORY']
['BREAD BIN DINER STYLE IVORY'],['IVORY KITCHEN SCALES']
['REGENCY CAKESTAND 3 TIER'],['BREAD BIN DINER STYLE IVORY']
['BREAD BIN DINER STYLE IVORY'],['REGENCY CAKESTAND 3 TIER']
['REGENCY CAKESTAND 3 TIER'],['BREAD BIN DINER STYLE RED ']
['BREAD BIN DINER STYLE RED '],['REGENCY CAKESTAND 3 TIER']
['POSTAGE'],['CAKE STAND WHITE TWO TIER LACE']
['CAKE STAND WHITE TWO TIER LACE'],['POSTAGE']
['PLASTERS IN TIN CIRCUS PARADE '],['CARD CIRCUS PARADE']
['CARD CIRCUS PARADE'],['PLASTERS IN TIN CIRCUS PARADE ']
['CARD CIRCUS PARADE'],['POSTAGE']
['POSTAGE'],['CARD CIRCUS PARADE']
['CARD CIRCUS PARADE'],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['CARD CIRCUS PARADE']
['CARD DOLLY GIRL '],['POSTAGE']
['POSTAGE'],['CARD DOLLY GIRL ']
['CARD DOLLY GIRL '],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['CARD DOLLY GIRL ']
['CARD DOLLY GIRL '],['SPACEBOY BIRTHDAY CARD']
['SPACEBOY BIRTHDAY CARD'],['CARD DOLLY GIRL ']
['JUMBO BAG APPLES'],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['JUMBO BAG APPLES']
['LUNCH BAG APPLE DESIGN'],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['LUNCH BAG APPLE DESIGN']
['PLASTERS IN TIN CIRCUS PARADE '],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['PLASTERS IN TIN CIRCUS PARADE ']
['PLASTERS IN TIN WOODLAND ANIMALS'],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['PLASTERS IN TIN WOODLAND ANIMALS']
['CHARLOTTE BAG APPLES DESIGN'],['POSTAGE']
['POSTAGE'],['CHARLOTTE BAG APPLES DESIGN']
['RED RETROSPOT CHARLOTTE BAG'],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['RED RETROSPOT CHARLOTTE BAG']
['ROUND SNACK BOXES SET OF 4 FRUITS '],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['ROUND SNACK BOXES SET OF 4 FRUITS ']
['CHARLOTTE BAG APPLES DESIGN'],['ROUND SNACK BOXES SET OF4 WOODLAND ']
['ROUND SNACK BOXES SET OF4 WOODLAND '],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG APPLES DESIGN'],['WOODLAND CHARLOTTE BAG']
['WOODLAND CHARLOTTE BAG'],['CHARLOTTE BAG APPLES DESIGN']
['CHARLOTTE BAG DOLLY GIRL DESIGN'],['DOLLY GIRL LUNCH BOX']
['DOLLY GIRL LUNCH BOX'],['CHARLOTTE BAG DOLLY GIRL DESIGN']
['PLASTERS IN TIN SPACEBOY'],['CHARLOTTE BAG DOLLY GIRL DESIGN']
['CHARLOTTE BAG DOLLY GIRL DESIGN'],['PLASTERS IN TIN SPACEBOY']
['CHARLOTTE BAG DOLLY GIRL DESIGN'],['POSTAGE']
['POSTAGE'],['CHARLOTTE BAG DOLLY GIRL DESIGN']
['RED RETROSPOT CHARLOTTE BAG'],['CHARLOTTE BAG DOLLY GIRL DESIGN']
['CHARLOTTE BAG DOLLY GIRL DESIGN'],['RED RETROSPOT CHARLOTTE BAG']
